,restaurant_id,google_price_level,google_rating,google_maps_url
239,366,1.0,4.6,https://maps.google.com/?cid=14630602232421517177
242,367,2.0,4.0,https://maps.google.com/?cid=6235248509411612363
244,368,0.0,4.6,https://maps.google.com/?cid=16528542211558247987
246,369,3.0,4.6,https://maps.google.com/?cid=18109200229752133759
247,370,3.0,4.4,https://maps.google.com/?cid=12532850227288603017
248,371,1.0,4.3,https://maps.google.com/?cid=15385042394478801061
249,372,3.0,3.9,https://maps.google.com/?cid=11167438921616649579
250,373,1.0,3.8,https://maps.google.com/?cid=748750770879426987
253,374,3.0,4.1,https://maps.google.com/?cid=1992220255199869582
256,375,1.0,4.1,https://maps.google.com/?cid=13490083540363298220
257,376,3.0,4.6,https://maps.google.com/?cid=5962565255661103230
258,377,3.0,4.6,https://maps.google.com/?cid=17887137546614528817
260,378,1.0,4.1,https://maps.google.com/?cid=12876364734284237121
263,379,2.0,4.3,https://maps.google.com/?cid=1799927183773943331
265,380,2.0,4.2,https://maps.google.com/?cid=12715919844863331927
267,381,2.0,4.3,https://maps.google.com/?cid=12254930108218938820
271,382,2.0,4.0,https://maps.google.com/?cid=1598367343725308713
273,383,2.0,4.1,https://maps.google.com/?cid=2827602460181459362
274,384,2.0,4.2,https://maps.google.com/?cid=4452158117517551813
277,385,0.0,4.5,https://maps.google.com/?cid=2638186517743656670
278,386,2.0,4.1,https://maps.google.com/?cid=12388211931090436833
279,387,1.0,4.1,https://maps.google.com/?cid=15993254590467100720
284,388,2.0,4.2,https://maps.google.com/?cid=12418809574391303643
287,389,3.0,4.6,https://maps.google.com/?cid=17142396508240652818
288,390,2.0,4.2,https://maps.google.com/?cid=13255700948768740331
289,391,2.0,4.3,https://maps.google.com/?cid=9069190271496148876
291,392,2.0,4.7,https://maps.google.com/?cid=1285232414589637573
293,393,2.0,4.3,https://maps.google.com/?cid=10852939072986442999
294,394,2.0,4.5,https://maps.google.com/?cid=11873720059055600833
295,395,2.0,4.3,https://maps.google.com/?cid=435561802601585825
301,396,2.0,4.5,https://maps.google.com/?cid=18307337471761314070
302,397,2.0,4.5,https://maps.google.com/?cid=2350379756130590065
303,398,3.0,4.2,https://maps.google.com/?cid=4828705820741312077
304,399,3.0,4.5,https://maps.google.com/?cid=17216643981034783712
305,400,2.0,4.3,https://maps.google.com/?cid=6340430034740176403
306,401,2.0,4.3,https://maps.google.com/?cid=8421677786793319279
308,402,2.0,4.6,https://maps.google.com/?cid=13502077397489826769
309,403,1.0,4.1,https://maps.google.com/?cid=657534481569041498
311,404,0.0,4.5,https://maps.google.com/?cid=5819472900025942252
313,405,2.0,4.2,https://maps.google.com/?cid=11131050814061751663
316,406,2.0,4.4,https://maps.google.com/?cid=1483941817872817544
318,407,1.0,4.2,https://maps.google.com/?cid=3510617706287722172
320,408,1.0,4.1,https://maps.google.com/?cid=9843203810463014750
322,409,1.0,3.8,https://maps.google.com/?cid=5787079484957106423
324,410,2.0,4.4,https://maps.google.com/?cid=18118440926085866036
325,411,2.0,4.5,https://maps.google.com/?cid=15042030997110678270
328,412,1.0,3.4,https://maps.google.com/?cid=18350059184768710816
331,413,0.0,3.4,https://maps.google.com/?cid=13935143921705621436
332,414,1.0,4.2,https://maps.google.com/?cid=8772031991485266627
334,415,1.0,4.3,https://maps.google.com/?cid=15972909961247655495
335,416,1.0,3.5,https://maps.google.com/?cid=5281828469009952520
336,417,1.0,3.4,https://maps.google.com/?cid=6896483104064914686
338,418,0.0,4.7,https://maps.google.com/?cid=18048558854903425939
339,419,1.0,4.2,https://maps.google.com/?cid=14508326688404277085
341,420,0.0,3.6,https://maps.google.com/?cid=8086028055495135390
342,421,2.0,4.2,https://maps.google.com/?cid=1364146477811652167
343,422,2.0,4.3,https://maps.google.com/?cid=5497865851298577750
344,423,0.0,3.5,https://maps.google.com/?cid=7503236889631756640
345,424,0.0,4.4,https://maps.google.com/?cid=17741991363540598854
347,425,0.0,5.0,https://maps.google.com/?cid=8817439653923074968
348,426,2.0,4.4,https://maps.google.com/?cid=9643533817232613497
349,427,1.0,4.2,https://maps.google.com/?cid=16980167678389833982
350,428,0.0,4.4,https://maps.google.com/?cid=3199577208605449639
351,429,1.0,4.5,https://maps.google.com/?cid=15662102958524636063
352,430,0.0,4.3,https://maps.google.com/?cid=3971858710751700587
353,431,0.0,5.0,https://maps.google.com/?cid=12839540216347133022
354,432,1.0,4.2,https://maps.google.com/?cid=15091813996694676719
355,433,2.0,4.5,https://maps.google.com/?cid=1646938978706323838
356,434,1.0,3.7,https://maps.google.com/?cid=17474442911624320363
357,435,2.0,3.1,https://maps.google.com/?cid=11162395169597474812
358,436,1.0,4.2,https://maps.google.com/?cid=11489687353021894176
359,437,2.0,4.4,https://maps.google.com/?cid=9651992548971425021
0,438,1.0,4.4,https://maps.google.com/?cid=14298467328753486970
1,439,2.0,4.2,https://maps.google.com/?cid=6036139170178877904
2,440,3.0,4.4,https://maps.google.com/?cid=1798990059960816432
3,441,2.0,4.6,https://maps.google.com/?cid=3183519225252686311
4,442,2.0,4.4,https://maps.google.com/?cid=2875787105878240952
5,443,2.0,4.5,https://maps.google.com/?cid=14013167729540331370
6,444,2.0,4.5,https://maps.google.com/?cid=9976836420500350003
7,445,2.0,4.4,https://maps.google.com/?cid=15941997231538038418
9,446,3.0,4.3,https://maps.google.com/?cid=10990691905540231901
10,447,2.0,4.4,https://maps.google.com/?cid=10144118584234609704
11,448,2.0,4.5,https://maps.google.com/?cid=3911668935715738117
12,449,2.0,4.2,https://maps.google.com/?cid=12817532522511618573
13,450,3.0,4.2,https://maps.google.com/?cid=13988025990265295454
14,451,2.0,4.2,https://maps.google.com/?cid=12391262712750949890
15,452,2.0,4.5,https://maps.google.com/?cid=1564351430727940054
16,453,2.0,4.5,https://maps.google.com/?cid=17629542895318143593
17,454,2.0,4.6,https://maps.google.com/?cid=4921425093695790070
18,455,2.0,4.5,https://maps.google.com/?cid=62529428702838660
19,456,2.0,4.4,https://maps.google.com/?cid=6452456972668682316
