restaurant_id,cuisine
406,Mexican
406,Soup
407,American (New)
407,Cocktail Bars
407,Tapas/Small Plates
408,American (Traditional)
409,Bakeries
409,Delis
409,Grocery
410,American (Traditional)
411,Salad
411,Soup
411,Italian
412,Indian
413,Sandwiches
413,Breakfast & Brunch
413,Coffee & Tea
808,Italian
809,Polish
810,Spanish
810,Iberian
810,Portuguese
811,American (New)
811,Bars
812,Chicken Wings
812,Pubs
812,American (Traditional)
813,Middle Eastern
813,Mediterranean
814,American (New)
814,Seafood
814,Bars
815,Pizza
815,Italian
815,Bars
816,Salad
816,Breakfast & Brunch
816,Burgers
817,Pubs
817,American (Traditional)
818,Peruvian
819,Persian/Iranian
820,Asian Fusion
820,Thai
820,Malaysian
821,Japanese
821,Sushi Bars
822,Japanese
822,Sushi Bars
822,Korean
823,Seafood
823,Vegetarian
824,Colombian
825,Bars
825,American (Traditional)
826,Pizza
826,Italian
827,Mediterranean
827,Halal
827,Afghan
828,Indian
851,Latin American
852,Steakhouses
852,Pubs
853,Soup
853,Chinese
853,Seafood
854,Italian
855,American (New)
855,Sports Bars
855,Burgers
856,Italian
857,Salad
857,Chinese
857,Sushi Bars
858,Salad
858,French
858,American (New)
